      Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout), 
        Hz,           ,           ,           ,           ,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A, 
 6.242E+05,  3.181E-02, -2.007E-01, -1.537E+00, -3.967E+00,  1.903E-02, -1.107E-02,  1.903E-02,  0.000E+00,  9.048E+02, -5.263E+02,  7.791E+01,  2.933E+02,  4.799E+00, -1.107E-01,  1.305E-01, -9.667E-01,  4.016E-03,  2.214E-03,  2.609E-03, -1.933E-02, 
 6.309E+05,  7.149E-03, -8.132E-02, -3.845E+00, -1.822E+00,  3.287E-03, -8.873E-03,  3.287E-03, -2.711E-20,  9.053E+02, -2.444E+03,  4.307E+01,  5.647E+02,  4.965E+00, -8.873E-02,  2.828E-02, -4.044E-01,  6.937E-04,  1.775E-03,  5.656E-04, -8.088E-03, 
 6.376E+05, -1.207E-02, -1.159E-01,  3.745E+00, -3.339E+00,  6.606E-03,  9.168E-03,  6.606E-03,  0.000E+00,  1.258E+03,  1.747E+03,  6.186E+01, -4.708E+02,  4.931E+00,  9.168E-02, -4.891E-02, -5.726E-01,  1.374E-03, -1.834E-03, -9.782E-04, -1.145E-02, 
 6.443E+05, -3.958E-02,  1.154E-01, -6.817E-01, -1.702E-01,  7.019E-03,  8.159E-02,  7.019E-03,  0.000E+00,  2.469E+01,  2.870E+02,  6.948E+00,  1.466E+02,  4.788E+00,  8.159E-01, -2.837E-01,  5.201E-01,  4.247E-03, -1.632E-02, -5.673E-03,  1.040E-02, 
 6.510E+05, -7.616E-03,  6.699E-02, -3.638E-01, -3.230E-02,  2.179E-03,  8.847E-02,  2.179E-03,  1.084E-19,  6.668E+00,  2.707E+02,  1.745E+01,  4.423E+02,  4.815E+00,  8.847E-01, -9.594E-02,  3.158E-01,  3.704E-03, -1.769E-02, -1.919E-03,  6.317E-03, 
 6.577E+05,  5.733E-03,  1.485E-01, -8.407E-01,  1.405E-01,  1.028E-02,  8.049E-02,  1.028E-02,  0.000E+00,  3.632E+01,  2.844E+02,  4.774E+02, -9.396E+02,  4.756E+00,  8.049E-01, -9.228E-02,  7.110E-01,  4.886E-03, -1.610E-02, -1.846E-03,  1.422E-02, 
 6.644E+05,  1.237E+00, -4.658E-01,  5.966E-01,  1.571E-01,  9.615E-02,  6.833E-02,  9.615E-02,  0.000E+00,  1.903E+01,  1.352E+01,  7.439E+01,  6.221E+01,  1.512E+00,  6.833E-01,  2.188E+00,  1.405E-01,  6.976E-02, -1.367E-02,  4.376E-02,  2.810E-03, 
 6.711E+05,  1.633E+00, -8.282E-01,  4.610E-01,  4.170E-02,  7.178E-02,  4.497E-02,  7.178E-02, -2.168E-19,  1.071E+01,  6.711E+00,  1.817E+02,  9.796E+01,  9.320E-01,  4.497E-01,  1.894E+00, -3.767E-02,  8.136E-02, -8.994E-03,  3.788E-02, -7.534E-04, 
 6.779E+05,  9.763E-02, -2.931E-01,  1.481E+00, -2.395E-01,  3.869E-02,  7.398E-02,  3.869E-02,  0.000E+00,  1.125E+02,  2.152E+02,  4.727E+01,  1.452E+02,  4.441E+00,  7.398E-01,  6.504E-01, -1.229E+00,  1.118E-02, -1.480E-02,  1.301E-02, -2.459E-02, 
 6.846E+05,  1.273E-02, -1.012E-01, -1.463E+00, -4.225E-01,  5.071E-03, -3.226E-02,  5.071E-03,  5.421E-20,  1.160E+02, -7.377E+02,  3.263E+01,  3.925E+02,  4.927E+00, -3.226E-01,  3.010E-02, -5.026E-01,  1.451E-03,  6.451E-03,  6.019E-04, -1.005E-02, 
