      Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout), 
        Hz,           ,           ,           ,           ,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A, 
 1.000E+01,  1.000E+00, -1.988E-03,  1.000E+00, -1.985E-03,  1.978E-02,  5.663E-08,  1.978E-02,  0.000E+00,  3.160E+02,  9.048E-04,  3.160E+02,  9.048E-04,  2.500E+00,  3.579E-06,  2.500E+00, -4.967E-03,  7.911E-03, -1.133E-08,  7.911E-03, -1.572E-05, 
 6.721E+03,  2.387E-01, -9.694E-01,  2.275E-01, -9.754E-01,  1.978E-02, -2.425E-04,  1.978E-02,  0.000E+00,  3.170E+02, -3.887E+00,  3.152E+02,  3.918E+00,  2.504E+00, -1.532E-02,  5.828E-01, -2.431E+00,  7.898E-03,  4.849E-05,  1.844E-03, -7.693E-03, 
 1.343E+04, -8.957E-01, -4.612E-01, -8.851E-01, -4.493E-01,  1.978E-02, -1.142E-04,  1.978E-02,  0.000E+00,  3.114E+02, -1.797E+00,  3.202E+02,  2.753E+00,  2.482E+00, -7.215E-03, -2.226E+00, -1.138E+00,  7.970E-03,  2.283E-05, -7.044E-03, -3.601E-03, 
 2.014E+04, -6.557E-01,  7.475E-01, -6.469E-01,  7.697E-01,  1.978E-02, -4.188E-04,  1.978E-02, -1.735E-18,  3.195E+02, -6.766E+00,  3.099E+02,  4.390E+00,  2.514E+00, -2.647E-02, -1.629E+00,  1.897E+00,  7.868E-03,  8.377E-05, -5.154E-03,  6.002E-03, 
 2.686E+04,  5.823E-01,  8.380E-01,  5.852E-01,  7.853E-01,  1.976E-02, -6.547E-04,  1.976E-02,  0.000E+00,  3.031E+02, -1.004E+01,  3.215E+02,  1.593E+01,  2.449E+00, -4.138E-02,  1.461E+00,  2.028E+00,  8.074E-03,  1.309E-04,  4.622E-03,  6.417E-03, 
 3.357E+04,  9.276E-01, -3.768E-01,  9.239E-01, -3.793E-01,  1.978E-02, -7.419E-05,  1.978E-02,  0.000E+00,  3.152E+02, -1.182E+00,  3.157E+02, -1.388E+00,  2.497E+00, -4.689E-03,  2.314E+00, -9.452E-01,  7.921E-03,  1.484E-05,  7.324E-03, -2.991E-03, 
 4.028E+04, -1.186E-01, -1.016E+00, -1.799E-01, -9.586E-01,  1.974E-02, -1.371E-03,  1.974E-02,  0.000E+00,  3.006E+02, -2.088E+01,  3.073E+02,  2.474E+01,  2.441E+00, -8.667E-02, -3.775E-01, -2.469E+00,  8.099E-03,  2.743E-04, -1.195E-03, -7.814E-03, 
 4.699E+04, -1.026E+00, -8.027E-02, -9.675E-01, -8.887E-02,  1.976E-02,  2.672E-04,  1.976E-02,  2.168E-19,  2.983E+02,  4.034E+00,  3.336E+02,  7.698E+00,  2.428E+00,  1.689E-02, -2.490E+00, -2.122E-01,  8.139E-03, -5.345E-05, -7.879E-03, -6.716E-04, 
 5.370E+04, -3.541E-01,  9.503E-01, -2.738E-01,  9.445E-01,  1.975E-02, -1.474E-03,  1.975E-02, -8.674E-19,  3.056E+02, -2.281E+01,  2.946E+02,  1.227E+01,  2.462E+00, -9.317E-02, -7.830E-01,  2.372E+00,  8.033E-03,  2.948E-04, -2.478E-03,  7.507E-03, 
 6.041E+04,  9.067E-01,  5.655E-01,  7.960E-01,  4.920E-01,  1.969E-02, -8.059E-05,  1.969E-02,  0.000E+00,  2.767E+02, -1.132E+00,  3.340E+02,  3.926E+01,  2.334E+00, -5.094E-03,  2.119E+00,  1.316E+00,  8.436E-03,  1.612E-05,  6.707E-03,  4.163E-03, 
 6.712E+04,  7.282E-01, -7.059E-01,  6.905E-01, -7.034E-01,  1.977E-02, -4.910E-04,  1.977E-02,  0.000E+00,  3.070E+02, -7.625E+00,  3.082E+02, -8.839E+00,  2.464E+00, -3.103E-02,  1.773E+00, -1.762E+00,  8.024E-03,  9.820E-05,  5.610E-03, -5.577E-03, 
 7.383E+04, -5.424E-01, -9.479E-01, -4.963E-01, -7.679E-01,  1.961E-02, -1.061E-03,  1.961E-02,  0.000E+00,  2.642E+02, -1.429E+01,  3.008E+02,  5.533E+01,  2.278E+00, -6.705E-02, -1.299E+00, -2.123E+00,  8.613E-03,  2.122E-04, -4.111E-03, -6.719E-03, 
 8.055E+04, -9.820E-01,  3.493E-01, -9.186E-01,  2.719E-01,  1.973E-02,  1.066E-03,  1.973E-02, -8.674E-19,  2.900E+02,  1.567E+01,  3.492E+02, -2.046E+00,  2.395E+00,  6.738E-02, -2.375E+00,  7.704E-01,  8.245E-03, -2.132E-04, -7.516E-03,  2.438E-03, 
 8.726E+04,  4.372E-02,  1.082E+00,  1.159E-01,  9.126E-01,  1.961E-02, -1.689E-03,  1.961E-02,  2.168E-19,  2.674E+02, -2.303E+01,  2.714E+02,  3.074E+01,  2.296E+00, -1.067E-01,  2.159E-01,  2.480E+00,  8.557E-03,  3.378E-04,  6.832E-04,  7.848E-03, 
 9.397E+04,  1.095E+00,  1.042E-01,  8.868E-01,  1.774E-01,  1.954E-02,  2.011E-03,  1.954E-02,  4.337E-19,  2.584E+02,  2.659E+01,  3.649E+02,  5.737E+01,  2.255E+00,  1.271E-01,  2.456E+00,  3.742E-01,  8.686E-03, -4.021E-04,  7.773E-03,  1.184E-03, 
 1.007E+05,  4.107E-01, -9.772E-01,  3.272E-01, -8.839E-01,  1.970E-02, -8.539E-04,  1.970E-02, -8.674E-19,  2.807E+02, -1.217E+01,  2.812E+02, -1.367E+01,  2.353E+00, -5.397E-02,  9.138E-01, -2.322E+00,  8.376E-03,  1.708E-04,  2.892E-03, -7.347E-03, 
 1.074E+05, -9.857E-01, -6.161E-01, -6.854E-01, -5.147E-01,  1.929E-02,  1.653E-03,  1.929E-02,  0.000E+00,  2.322E+02,  1.989E+01,  3.089E+02,  9.913E+01,  2.121E+00,  1.045E-01, -2.027E+00, -1.410E+00,  9.109E-03, -3.306E-04, -6.414E-03, -4.462E-03, 
 1.141E+05, -7.528E-01,  7.379E-01, -7.266E-01,  6.051E-01,  1.969E-02,  1.598E-03,  1.969E-02,  0.000E+00,  2.825E+02,  2.293E+01,  3.446E+02, -3.451E+01,  2.364E+00,  1.010E-01, -1.854E+00,  1.668E+00,  8.342E-03, -3.196E-04, -5.868E-03,  5.280E-03, 
 1.208E+05,  6.013E-01,  1.021E+00,  4.054E-01,  7.395E-01,  1.921E-02,  5.879E-04,  1.921E-02,  0.000E+00,  2.247E+02,  6.876E+00,  2.499E+02,  7.037E+01,  2.078E+00,  3.715E-02,  1.212E+00,  2.145E+00,  9.245E-03, -1.176E-04,  3.835E-03,  6.789E-03, 
 1.275E+05,  9.989E-01, -4.177E-01,  8.872E-01, -1.532E-01,  1.936E-02,  4.431E-03,  1.936E-02,  0.000E+00,  2.561E+02,  5.863E+01,  4.148E+02,  4.011E+01,  2.267E+00,  2.801E-01,  2.382E+00, -6.672E-01,  8.649E-03, -8.862E-04,  7.537E-03, -2.111E-03, 
 1.342E+05, -8.619E-02, -1.148E+00, -5.183E-02, -8.670E-01,  1.939E-02,  2.954E-04,  1.939E-02,  0.000E+00,  2.384E+02,  3.632E+00,  2.385E+02,  5.395E+00,  2.150E+00,  1.867E-02, -1.639E-01, -2.470E+00,  9.019E-03, -5.908E-05, -5.186E-04, -7.816E-03, 
 1.409E+05, -1.144E+00,  5.374E-03, -7.950E-01, -2.492E-01,  1.881E-02,  5.995E-03,  1.881E-02,  0.000E+00,  2.194E+02,  6.989E+01,  3.537E+02,  1.467E+02,  2.098E+00,  3.789E-01, -2.401E+00, -4.220E-01,  9.183E-03, -1.199E-03, -7.599E-03, -1.335E-03, 
 1.477E+05, -3.540E-01,  1.033E+00, -3.839E-01,  8.255E-01,  1.956E-02,  2.066E-03,  1.956E-02,  0.000E+00,  2.619E+02,  2.766E+01,  2.926E+02, -5.980E+01,  2.272E+00,  1.306E-01, -9.393E-01,  2.302E+00,  8.632E-03, -4.132E-04, -2.973E-03,  7.284E-03, 
