      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,           ,           ,           ,           , 
 6.327E+06,  5.000E+00,  9.935E-03,  4.422E-05, -9.935E-03,  8.845E-07, -1.987E-04,  8.845E-07, -1.987E-04,  2.448E-06,  9.935E-04,  1.974E-06,  0.000E+00,  6.200E+01,  2.516E+04,  6.200E+01,  2.516E+04,  4.896E-06, -1.987E-03,  1.000E+00,  0.000E+00, 
 6.531E+06,  5.000E+00,  9.625E-03,  4.150E-05, -9.625E-03,  8.301E-07, -1.925E-04,  8.301E-07, -1.925E-04,  2.298E-06,  9.625E-04,  1.853E-06, -1.654E-24,  6.200E+01,  2.597E+04,  6.200E+01,  2.597E+04,  4.595E-06, -1.925E-03,  1.000E+00,  0.000E+00, 
 6.735E+06,  5.000E+00,  9.333E-03,  3.903E-05, -9.333E-03,  7.805E-07, -1.867E-04,  7.805E-07, -1.867E-04,  2.160E-06,  9.333E-04,  1.742E-06,  8.272E-25,  6.200E+01,  2.679E+04,  6.200E+01,  2.679E+04,  4.321E-06, -1.867E-03,  1.000E+00,  0.000E+00, 
 6.939E+06,  5.000E+00,  9.059E-03,  3.676E-05, -9.059E-03,  7.353E-07, -1.812E-04,  7.353E-07, -1.812E-04,  2.035E-06,  9.059E-04,  1.641E-06,  8.272E-25,  6.200E+01,  2.760E+04,  6.200E+01,  2.760E+04,  4.070E-06, -1.812E-03,  1.000E+00,  0.000E+00, 
 7.143E+06,  5.000E+00,  8.800E-03,  3.469E-05, -8.800E-03,  6.939E-07, -1.760E-04,  6.939E-07, -1.760E-04,  1.921E-06,  8.800E-04,  1.549E-06, -8.272E-25,  6.200E+01,  2.841E+04,  6.200E+01,  2.841E+04,  3.841E-06, -1.760E-03,  1.000E+00,  0.000E+00, 
 7.347E+06,  5.000E+00,  8.556E-03,  3.279E-05, -8.556E-03,  6.559E-07, -1.711E-04,  6.559E-07, -1.711E-04,  1.815E-06,  8.556E-04,  1.464E-06,  0.000E+00,  6.200E+01,  2.922E+04,  6.200E+01,  2.922E+04,  3.631E-06, -1.711E-03,  1.000E+00,  0.000E+00, 
 7.551E+06,  5.000E+00,  8.324E-03,  3.104E-05, -8.324E-03,  6.209E-07, -1.665E-04,  6.209E-07, -1.665E-04,  1.719E-06,  8.324E-04,  1.386E-06,  8.272E-25,  6.200E+01,  3.003E+04,  6.200E+01,  3.003E+04,  3.437E-06, -1.665E-03,  1.000E+00,  0.000E+00, 
 7.755E+06,  5.000E+00,  8.105E-03,  2.943E-05, -8.105E-03,  5.886E-07, -1.621E-04,  5.886E-07, -1.621E-04,  1.629E-06,  8.105E-04,  1.314E-06,  0.000E+00,  6.200E+01,  3.084E+04,  6.200E+01,  3.084E+04,  3.259E-06, -1.621E-03,  1.000E+00,  0.000E+00, 
 7.959E+06,  5.000E+00,  7.897E-03,  2.794E-05, -7.897E-03,  5.588E-07, -1.579E-04,  5.588E-07, -1.579E-04,  1.547E-06,  7.897E-04,  1.247E-06,  0.000E+00,  6.200E+01,  3.166E+04,  6.200E+01,  3.166E+04,  3.094E-06, -1.579E-03,  1.000E+00,  0.000E+00, 
 8.163E+06,  5.000E+00,  7.700E-03,  2.656E-05, -7.700E-03,  5.312E-07, -1.540E-04,  5.312E-07, -1.540E-04,  1.470E-06,  7.700E-04,  1.186E-06,  0.000E+00,  6.200E+01,  3.247E+04,  6.200E+01,  3.247E+04,  2.941E-06, -1.540E-03,  1.000E+00,  0.000E+00, 
 8.367E+06,  5.000E+00,  7.512E-03,  2.528E-05, -7.512E-03,  5.056E-07, -1.502E-04,  5.056E-07, -1.502E-04,  1.400E-06,  7.512E-04,  1.129E-06,  0.000E+00,  6.200E+01,  3.328E+04,  6.200E+01,  3.328E+04,  2.799E-06, -1.502E-03,  1.000E+00,  0.000E+00, 
 8.571E+06,  5.000E+00,  7.333E-03,  2.409E-05, -7.333E-03,  4.819E-07, -1.467E-04,  4.819E-07, -1.467E-04,  1.334E-06,  7.333E-04,  1.076E-06,  0.000E+00,  6.200E+01,  3.409E+04,  6.200E+01,  3.409E+04,  2.667E-06, -1.467E-03,  1.000E+00,  0.000E+00, 
 8.776E+06,  5.000E+00,  7.163E-03,  2.299E-05, -7.163E-03,  4.597E-07, -1.433E-04,  4.597E-07, -1.433E-04,  1.272E-06,  7.163E-04,  1.026E-06,  0.000E+00,  6.200E+01,  3.490E+04,  6.200E+01,  3.490E+04,  2.545E-06, -1.433E-03,  1.000E+00,  0.000E+00, 
 8.980E+06,  5.000E+00,  7.000E-03,  2.195E-05, -7.000E-03,  4.390E-07, -1.400E-04,  4.390E-07, -1.400E-04,  1.215E-06,  7.000E-04,  9.800E-07, -4.136E-25,  6.200E+01,  3.571E+04,  6.200E+01,  3.571E+04,  2.430E-06, -1.400E-03,  1.000E+00,  0.000E+00, 
 9.184E+06,  5.000E+00,  6.844E-03,  2.099E-05, -6.844E-03,  4.197E-07, -1.369E-04,  4.197E-07, -1.369E-04,  1.162E-06,  6.844E-04,  9.369E-07,  4.136E-25,  6.200E+01,  3.653E+04,  6.200E+01,  3.653E+04,  2.324E-06, -1.369E-03,  1.000E+00,  0.000E+00, 
 9.388E+06,  5.000E+00,  6.696E-03,  2.008E-05, -6.696E-03,  4.017E-07, -1.339E-04,  4.017E-07, -1.339E-04,  1.112E-06,  6.696E-04,  8.966E-07,  0.000E+00,  6.200E+01,  3.734E+04,  6.200E+01,  3.734E+04,  2.224E-06, -1.339E-03,  1.000E+00,  0.000E+00, 
 9.592E+06,  5.000E+00,  6.553E-03,  1.924E-05, -6.553E-03,  3.848E-07, -1.311E-04,  3.848E-07, -1.311E-04,  1.065E-06,  6.553E-04,  8.589E-07,  4.136E-25,  6.200E+01,  3.815E+04,  6.200E+01,  3.815E+04,  2.130E-06, -1.311E-03,  1.000E+00,  0.000E+00, 
 9.796E+06,  5.000E+00,  6.417E-03,  1.845E-05, -6.417E-03,  3.689E-07, -1.283E-04,  3.689E-07, -1.283E-04,  1.021E-06,  6.417E-04,  8.235E-07, -4.136E-25,  6.200E+01,  3.896E+04,  6.200E+01,  3.896E+04,  2.042E-06, -1.283E-03,  1.000E+00,  0.000E+00, 
 1.000E+07,  5.000E+00,  6.286E-03,  1.770E-05, -6.286E-03,  3.540E-07, -1.257E-04,  3.540E-07, -1.257E-04,  9.799E-07,  6.286E-04,  7.902E-07,  4.136E-25,  6.200E+01,  3.977E+04,  6.200E+01,  3.977E+04,  1.960E-06, -1.257E-03,  1.000E+00,  0.000E+00, 
