      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout), 
        Hz,          V,          V,          V,          V,           ,           ,          A,          A,          A,          A,           ,           ,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W, 
 1.000E+01,  2.500E+00, -7.854E-09,  2.500E+00, -2.247E-04,  1.000E+00, -8.987E-05,  5.000E-02,  1.571E-10,  5.000E-02, -4.494E-06,  1.000E+00, -8.988E-05,  5.000E+01, -3.142E-07,  5.000E+01, -3.142E-07,  1.250E-01, -7.854E-10,  1.250E-01,  0.000E+00, 
 2.041E+05,  2.496E+00,  1.313E-03, -7.453E-01, -2.386E+00, -2.991E-01, -9.560E-01,  5.008E-02, -2.626E-05, -1.491E-02, -4.773E-02, -2.971E-01, -9.531E-01,  4.983E+01,  5.233E-02,  4.983E+01,  5.233E-02,  1.250E-01,  1.313E-04,  1.250E-01,  0.000E+00, 
 4.082E+05,  2.984E+00,  3.298E-01, -1.368E+00,  2.009E+00, -3.794E-01,  7.151E-01,  4.032E-02, -6.595E-03, -2.736E-02,  4.018E-02, -8.198E-01,  8.624E-01,  7.079E+01,  1.976E+01,  7.079E+01,  1.976E+01,  1.181E-01,  3.298E-02,  1.181E-01,  0.000E+00, 
 6.123E+05,  1.136E+00, -2.011E+00,  4.870E-01, -3.302E-01,  2.282E-01,  1.132E-01,  7.727E-02,  4.022E-02,  9.740E-03, -6.604E-03,  6.418E-02, -1.189E-01,  9.125E-01, -2.650E+01,  9.125E-01, -2.650E+01,  6.924E-03, -2.011E-01,  6.924E-03,  0.000E+00, 
 8.163E+05,  7.269E-02,  5.930E-01, -1.917E-02, -7.847E-02, -1.343E-01,  1.587E-02,  9.855E-02, -1.186E-02, -3.834E-04, -1.569E-03, -1.946E-03, -1.616E-02,  1.325E-02,  6.019E+00,  1.325E-02,  6.019E+00,  1.305E-04,  5.930E-02,  1.305E-04,  3.388E-21, 
 1.020E+06,  8.854E-01,  1.909E+00, -1.294E-02, -1.095E-02, -7.309E-03,  3.390E-03,  8.229E-02, -3.817E-02, -2.589E-04, -2.190E-04, -1.573E-03, -3.391E-03,  6.985E-04,  2.319E+01,  6.985E-04,  2.319E+01,  5.748E-06,  1.909E-01,  5.748E-06,  0.000E+00, 
 1.224E+06,  1.752E+00,  2.385E+00, -4.515E-03, -1.416E-03, -1.289E-03,  9.464E-04,  6.497E-02, -4.771E-02, -9.030E-05, -2.833E-05, -6.950E-04, -9.464E-04,  6.894E-05,  3.672E+01,  6.894E-05,  3.672E+01,  4.479E-07,  2.385E-01,  4.479E-07,  0.000E+00, 
 1.429E+06,  2.433E+00,  2.499E+00, -1.608E-03, -4.307E-05, -3.305E-04,  3.217E-04,  5.134E-02, -4.998E-02, -3.216E-05, -8.613E-07, -3.132E-04, -3.217E-04,  1.008E-05,  4.868E+01,  1.008E-05,  4.868E+01,  5.176E-08,  2.499E-01,  5.176E-08, -2.068E-25, 
 1.633E+06,  2.943E+00,  2.460E+00, -6.218E-04,  1.119E-04, -1.056E-04,  1.264E-04,  4.114E-02, -4.921E-02, -1.244E-05,  2.238E-06, -1.511E-04, -1.264E-04,  1.940E-06,  5.980E+01,  1.940E-06,  5.980E+01,  7.983E-09,  2.460E-01,  7.983E-09,  2.068E-25, 
