      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout), 
        Hz,          V,          V,          V,          V,           ,           ,          A,          A,          A,          A,           ,           ,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W, 
 1.000E+01,  2.500E+00,  4.581E-08,  2.500E+00, -1.001E-04,  1.000E+00, -4.004E-05,  3.333E-02, -6.109E-10,  3.333E-02, -1.334E-06,  1.000E+00, -4.001E-05,  7.500E+01,  2.749E-06,  7.500E+01,  2.749E-06,  8.333E-02,  3.054E-09,  8.333E-02,  4.235E-22, 
 2.041E+05,  2.374E+00, -1.124E-01,  1.658E+00, -1.863E+00,  7.341E-01, -7.502E-01,  3.502E-02,  1.499E-03,  2.211E-02, -2.484E-02,  5.999E-01, -7.351E-01,  6.752E+01, -6.101E+00,  6.752E+01, -6.101E+00,  8.295E-02, -7.495E-03,  8.295E-02,  0.000E+00, 
 4.082E+05,  1.357E+00,  3.514E-01, -6.452E-01, -2.099E+00, -8.208E-01, -1.334E+00,  4.857E-02, -4.685E-03, -8.602E-03, -2.798E-02, -1.204E-01, -5.877E-01,  2.699E+01,  9.837E+00,  2.699E+01,  9.837E+00,  6.427E-02,  2.342E-02,  6.427E-02,  0.000E+00, 
 6.123E+05,  1.860E+00,  2.101E+00, -1.142E+00, -3.479E-01, -3.627E-01,  2.226E-01,  4.187E-02, -2.801E-02, -1.523E-02, -4.639E-03, -2.001E-01, -2.447E-01,  7.491E+00,  5.520E+01,  7.491E+00,  5.520E+01,  1.901E-02,  1.401E-01,  1.901E-02,  0.000E+00, 
 8.163E+05,  3.096E+00,  2.363E+00, -5.417E-01,  1.368E-01, -8.928E-02,  1.123E-01,  2.538E-02, -3.150E-02, -7.223E-03,  1.824E-03, -1.471E-01, -1.108E-01,  2.543E+00,  9.625E+01,  2.543E+00,  9.625E+01,  4.162E-03,  1.575E-01,  4.162E-03,  0.000E+00, 
 1.020E+06,  3.784E+00,  2.125E+00, -2.494E-01,  1.508E-01, -3.311E-02,  5.843E-02,  1.621E-02, -2.833E-02, -3.326E-03,  2.010E-03, -1.040E-01, -5.786E-02,  1.063E+00,  1.330E+02,  1.063E+00,  1.330E+02,  1.133E-03,  1.417E-01,  1.133E-03,  0.000E+00, 
 1.224E+06,  4.160E+00,  1.861E+00, -1.264E-01,  1.128E-01, -1.522E-02,  3.392E-02,  1.119E-02, -2.482E-02, -1.686E-03,  1.504E-03, -7.581E-02, -3.373E-02,  5.164E-01,  1.674E+02,  5.164E-01,  1.674E+02,  3.827E-04,  1.241E-01,  3.827E-04,  2.711E-20, 
 1.429E+06,  4.385E+00,  1.638E+00, -7.008E-02,  8.064E-02, -7.994E-03,  2.138E-02,  8.195E-03, -2.184E-02, -9.344E-04,  1.075E-03, -5.722E-02, -2.131E-02,  2.796E-01,  2.007E+02,  2.796E-01,  2.007E+02,  1.522E-04,  1.092E-01,  1.522E-04,  0.000E+00, 
 1.633E+06,  4.530E+00,  1.457E+00, -4.175E-02,  5.818E-02, -4.608E-03,  1.432E-02,  6.261E-03, -1.942E-02, -5.566E-04,  7.757E-04, -4.454E-02, -1.430E-02,  1.641E-01,  2.332E+02,  1.641E-01,  2.332E+02,  6.837E-05,  9.712E-02,  6.837E-05, -6.776E-21, 
