      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,           ,           ,           ,           , 
 3.469E+06,  3.387E+00, -1.396E-01,  1.611E-01, -4.189E-01,  3.226E-02,  2.792E-03,  3.223E-03, -8.377E-03,  1.089E-01, -1.396E-02,  1.375E+00, -1.429E+01,  4.028E-03,  2.168E-19,  1.038E+02, -1.332E+01,  5.258E-02, -1.215E-01,  7.684E-02, -2.663E-01, 
 3.673E+06,  3.382E+00, -1.337E-01,  1.458E-01, -4.012E-01,  3.236E-02,  2.675E-03,  2.915E-03, -8.024E-03,  1.091E-01, -1.337E-02,  1.227E+00, -1.351E+01,  3.644E-03,  0.000E+00,  1.035E+02, -1.268E+01,  4.772E-02, -1.167E-01,  6.912E-02, -2.537E-01, 
 3.878E+06,  3.377E+00, -1.282E-01,  1.324E-01, -3.847E-01,  3.245E-02,  2.564E-03,  2.648E-03, -7.693E-03,  1.093E-01, -1.282E-02,  1.102E+00, -1.281E+01,  3.310E-03,  0.000E+00,  1.031E+02, -1.210E+01,  4.346E-02, -1.122E-01,  6.248E-02, -2.420E-01, 
 4.082E+06,  3.374E+00, -1.231E-01,  1.207E-01, -3.693E-01,  3.253E-02,  2.462E-03,  2.415E-03, -7.385E-03,  1.094E-01, -1.231E-02,  9.957E-01, -1.218E+01,  3.018E-03, -1.084E-19,  1.028E+02, -1.157E+01,  3.973E-02, -1.080E-01,  5.673E-02, -2.313E-01, 
 4.286E+06,  3.370E+00, -1.183E-01,  1.105E-01, -3.549E-01,  3.260E-02,  2.366E-03,  2.210E-03, -7.097E-03,  1.096E-01, -1.183E-02,  9.037E-01, -1.161E+01,  2.763E-03, -1.084E-19,  1.026E+02, -1.107E+01,  3.644E-02, -1.040E-01,  5.173E-02, -2.215E-01, 
 4.490E+06,  3.367E+00, -1.138E-01,  1.015E-01, -3.414E-01,  3.266E-02,  2.276E-03,  2.030E-03, -6.828E-03,  1.097E-01, -1.138E-02,  8.239E-01, -1.109E+01,  2.537E-03,  0.000E+00,  1.024E+02, -1.062E+01,  3.353E-02, -1.003E-01,  4.735E-02, -2.124E-01, 
 4.694E+06,  3.364E+00, -1.096E-01,  9.350E-02, -3.288E-01,  3.271E-02,  2.192E-03,  1.870E-03, -6.577E-03,  1.098E-01, -1.096E-02,  7.541E-01, -1.061E+01,  2.337E-03,  0.000E+00,  1.022E+02, -1.020E+01,  3.094E-02, -9.673E-02,  4.350E-02, -2.040E-01, 
 4.898E+06,  3.362E+00, -1.057E-01,  8.640E-02, -3.171E-01,  3.276E-02,  2.114E-03,  1.728E-03, -6.341E-03,  1.099E-01, -1.057E-02,  6.929E-01, -1.017E+01,  2.160E-03, -1.084E-19,  1.020E+02, -9.809E+00,  2.863E-02, -9.341E-02,  4.009E-02, -1.962E-01, 
 5.102E+06,  3.360E+00, -1.020E-01,  8.006E-02, -3.060E-01,  3.280E-02,  2.040E-03,  1.601E-03, -6.121E-03,  1.100E-01, -1.020E-02,  6.388E-01, -9.768E+00,  2.001E-03,  1.084E-19,  1.019E+02, -9.446E+00,  2.657E-02, -9.028E-02,  3.706E-02, -1.889E-01, 
 5.306E+06,  3.358E+00, -9.857E-02,  7.438E-02, -2.957E-01,  3.284E-02,  1.971E-03,  1.488E-03, -5.914E-03,  1.101E-01, -9.857E-03,  5.908E-01, -9.395E+00,  1.859E-03,  5.421E-20,  1.017E+02, -9.108E+00,  2.471E-02, -8.733E-02,  3.436E-02, -1.822E-01, 
 5.510E+06,  3.356E+00, -9.533E-02,  6.927E-02, -2.860E-01,  3.287E-02,  1.907E-03,  1.385E-03, -5.720E-03,  1.101E-01, -9.533E-03,  5.480E-01, -9.050E+00,  1.732E-03,  0.000E+00,  1.016E+02, -8.793E+00,  2.304E-02, -8.455E-02,  3.195E-02, -1.759E-01, 
