      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai), 
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,           ,           ,           ,           , 
 6.327E+06,  2.027E+00, -2.822E-01,  1.982E+00,  1.882E-01,  5.946E-02,  5.645E-03,  3.964E-02,  3.763E-03,  1.189E-01, -2.822E-02,  3.352E+01, -3.506E+00,  7.929E-02,  0.000E+00,  3.333E+01, -7.911E+00,  9.467E-01,  2.247E-01,  6.667E-01,  0.000E+00, 
 6.531E+06,  2.025E+00, -2.736E-01,  1.983E+00,  1.824E-01,  5.950E-02,  5.472E-03,  3.966E-02,  3.648E-03,  1.190E-01, -2.736E-02,  3.351E+01, -3.397E+00,  7.933E-02,  8.674E-19,  3.333E+01, -7.664E+00,  9.498E-01,  2.184E-01,  6.667E-01,  0.000E+00, 
 6.735E+06,  2.024E+00, -2.654E-01,  1.984E+00,  1.769E-01,  5.953E-02,  5.308E-03,  3.968E-02,  3.539E-03,  1.191E-01, -2.654E-02,  3.350E+01, -3.295E+00,  7.937E-02,  0.000E+00,  3.333E+01, -7.431E+00,  9.526E-01,  2.124E-01,  6.667E-01,  0.000E+00, 
 6.939E+06,  2.022E+00, -2.577E-01,  1.985E+00,  1.718E-01,  5.955E-02,  5.155E-03,  3.970E-02,  3.436E-03,  1.191E-01, -2.577E-02,  3.349E+01, -3.198E+00,  7.941E-02,  0.000E+00,  3.333E+01, -7.213E+00,  9.553E-01,  2.067E-01,  6.667E-01,  0.000E+00, 
 7.143E+06,  2.021E+00, -2.505E-01,  1.986E+00,  1.670E-01,  5.958E-02,  5.009E-03,  3.972E-02,  3.340E-03,  1.192E-01, -2.505E-02,  3.348E+01, -3.107E+00,  7.944E-02,  0.000E+00,  3.333E+01, -7.007E+00,  9.577E-01,  2.013E-01,  6.667E-01,  0.000E+00, 
 7.347E+06,  2.020E+00, -2.436E-01,  1.987E+00,  1.624E-01,  5.960E-02,  4.872E-03,  3.973E-02,  3.248E-03,  1.192E-01, -2.436E-02,  3.347E+01, -3.021E+00,  7.947E-02, -8.674E-19,  3.333E+01, -6.812E+00,  9.599E-01,  1.962E-01,  6.667E-01,  0.000E+00, 
 7.551E+06,  2.019E+00, -2.371E-01,  1.987E+00,  1.581E-01,  5.962E-02,  4.742E-03,  3.975E-02,  3.161E-03,  1.192E-01, -2.371E-02,  3.346E+01, -2.940E+00,  7.950E-02,  0.000E+00,  3.333E+01, -6.628E+00,  9.620E-01,  1.913E-01,  6.667E-01,  0.000E+00, 
 7.755E+06,  2.018E+00, -2.309E-01,  1.988E+00,  1.540E-01,  5.964E-02,  4.619E-03,  3.976E-02,  3.079E-03,  1.193E-01, -2.309E-02,  3.346E+01, -2.863E+00,  7.952E-02, -8.674E-19,  3.333E+01, -6.454E+00,  9.639E-01,  1.866E-01,  6.667E-01,  0.000E+00, 
 7.959E+06,  2.017E+00, -2.251E-01,  1.989E+00,  1.501E-01,  5.966E-02,  4.502E-03,  3.977E-02,  3.001E-03,  1.193E-01, -2.251E-02,  3.345E+01, -2.790E+00,  7.955E-02,  0.000E+00,  3.333E+01, -6.288E+00,  9.656E-01,  1.822E-01,  6.667E-01,  0.000E+00, 
 8.163E+06,  2.016E+00, -2.195E-01,  1.989E+00,  1.464E-01,  5.968E-02,  4.391E-03,  3.978E-02,  2.927E-03,  1.194E-01, -2.195E-02,  3.344E+01, -2.720E+00,  7.957E-02,  0.000E+00,  3.333E+01, -6.131E+00,  9.673E-01,  1.779E-01,  6.667E-01,  0.000E+00, 
 8.367E+06,  2.015E+00, -2.142E-01,  1.990E+00,  1.428E-01,  5.969E-02,  4.285E-03,  3.979E-02,  2.856E-03,  1.194E-01, -2.142E-02,  3.344E+01, -2.654E+00,  7.959E-02,  0.000E+00,  3.333E+01, -5.981E+00,  9.688E-01,  1.738E-01,  6.667E-01,  0.000E+00, 
 8.571E+06,  2.015E+00, -2.092E-01,  1.990E+00,  1.395E-01,  5.971E-02,  4.184E-03,  3.980E-02,  2.789E-03,  1.194E-01, -2.092E-02,  3.343E+01, -2.591E+00,  7.961E-02,  0.000E+00,  3.333E+01, -5.839E+00,  9.702E-01,  1.700E-01,  6.667E-01,  0.000E+00, 
 8.776E+06,  2.014E+00, -2.044E-01,  1.991E+00,  1.362E-01,  5.972E-02,  4.087E-03,  3.981E-02,  2.725E-03,  1.194E-01, -2.044E-02,  3.343E+01, -2.531E+00,  7.963E-02,  8.674E-19,  3.333E+01, -5.703E+00,  9.716E-01,  1.662E-01,  6.667E-01,  0.000E+00, 
 8.980E+06,  2.013E+00, -1.998E-01,  1.991E+00,  1.332E-01,  5.973E-02,  3.995E-03,  3.982E-02,  2.663E-03,  1.195E-01, -1.998E-02,  3.343E+01, -2.474E+00,  7.964E-02,  8.674E-19,  3.333E+01, -5.574E+00,  9.728E-01,  1.627E-01,  6.667E-01,  0.000E+00, 
 9.184E+06,  2.013E+00, -1.954E-01,  1.991E+00,  1.302E-01,  5.974E-02,  3.907E-03,  3.983E-02,  2.605E-03,  1.195E-01, -1.954E-02,  3.342E+01, -2.419E+00,  7.966E-02,  0.000E+00,  3.333E+01, -5.450E+00,  9.740E-01,  1.592E-01,  6.667E-01,  0.000E+00, 
 9.388E+06,  2.012E+00, -1.911E-01,  1.992E+00,  1.274E-01,  5.976E-02,  3.823E-03,  3.984E-02,  2.549E-03,  1.195E-01, -1.911E-02,  3.342E+01, -2.366E+00,  7.967E-02,  0.000E+00,  3.333E+01, -5.331E+00,  9.751E-01,  1.559E-01,  6.667E-01,  0.000E+00, 
 9.592E+06,  2.012E+00, -1.871E-01,  1.992E+00,  1.247E-01,  5.977E-02,  3.742E-03,  3.984E-02,  2.495E-03,  1.195E-01, -1.871E-02,  3.341E+01, -2.316E+00,  7.969E-02,  0.000E+00,  3.333E+01, -5.218E+00,  9.761E-01,  1.528E-01,  6.667E-01,  0.000E+00, 
 9.796E+06,  2.011E+00, -1.832E-01,  1.993E+00,  1.222E-01,  5.978E-02,  3.665E-03,  3.985E-02,  2.443E-03,  1.196E-01, -1.832E-02,  3.341E+01, -2.268E+00,  7.970E-02, -8.674E-19,  3.333E+01, -5.109E+00,  9.770E-01,  1.498E-01,  6.667E-01,  0.000E+00, 
 1.000E+07,  2.011E+00, -1.795E-01,  1.993E+00,  1.197E-01,  5.978E-02,  3.591E-03,  3.986E-02,  2.394E-03,  1.196E-01, -1.795E-02,  3.341E+01, -2.222E+00,  7.971E-02,  0.000E+00,  3.333E+01, -5.005E+00,  9.780E-01,  1.468E-01,  6.667E-01,  0.000E+00, 
